公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,工作年限,经验,salary,月工资
成都杰迈科技有限责任公司,成都杰迈,15-50人,不需要融资,高新区,java开发工程师,3-5年,大专,10k-15k,"五险一金,员工旅游,绩效奖金,年终奖金","['3', '5']",4.0,"['10', '15']",11.25
四川长虹电器股份有限公司,四川长虹电器股份有限公司,2000人以上,上市公司,高新区,java工程师,3-5年,本科,8k-15k,五险一金,"['3', '5']",4.0,"['8', '15']",9.75
成都校精灵科技有限公司,校精灵,15-50人,天使轮,高新区,Java开发工程师,1-3年,本科,7k-12k,"股票期权,大牛指导,快速成长,打土豪分田","['1', '3']",2.0,"['7', '12']",8.25
成都冰鉴信息科技有限公司,冰鉴科技,50-150人,B轮,高新区,Java开发工程师,1-3年,本科,10k-15k,"金融科技,扁平管理,弹性工作,发展平台好","['1', '3']",2.0,"['10', '15']",11.25
客如云科技（北京）股份有限公司,客如云,500-2000人,C轮,高新区,Java开发工程师J11058,3-5年,本科,15k-25k,"前景广阔,优秀团队,C轮融资","['3', '5']",4.0,"['15', '25']",17.5
成都昕月互动科技有限公司,北美省钱快报,150-500人,不需要融资,高新区,Java,3-5年,本科,10k-20k,"五险一金,环境舒适,团队活跃","['3', '5']",4.0,"['10', '20']",12.5
四川斐讯信息技术有限公司,斐讯技术,2000人以上,不需要融资,高新区,Java工程师,3-5年,本科,10k-20k,"五险一金,餐饮补贴,下午茶","['3', '5']",4.0,"['10', '20']",12.5
成都博雅成信科技有限公司,博雅成信,2000人以上,不需要融资,高新区,Java开发工程师,3-5年,本科,10k-15k,"平台大,发展快,美女多,技术大咖","['3', '5']",4.0,"['10', '15']",11.25
优客逸家(成都)信息科技有限公司,优客逸家,500-2000人,C轮,高新区,JAVA软件开发工程师,3-5年,本科,12k-16k,"互联网平台,扁平文化,扁平灵活,集团化发展","['3', '5']",4.0,"['12', '16']",13.0
贵州煜滕煤炭行业大数据信息中心有限责任公司,贵煤数据,15-50人,天使轮,高新区,Java工程师,1-3年,本科,6k-10k,"金融,大数据,双休,带薪年假","['1', '3']",2.0,"['6', '10']",7.0
深圳市易思博软件技术有限公司,深圳易思博软件,15-50人,未融资,郫县,java开发工程师,1-3年,大专,7k-12k,"java,linux","['1', '3']",2.0,"['7', '12']",8.25
薇信和他的小伙伴们成都信息技术有限公司,薇信小伙伴,50-150人,未融资,高新区,Java开发工程师,3-5年,大专,8K-11K,"员工旅游,专业不定时培训，带薪年假","['3', '5']",4.0,"['8', '11']",8.75
广州星鸟电子科技有限公司,广州星鸟科技,150-500人,不需要融资,高新区,java开发工程师cd,1-3年,大专,7k-11k,"待遇丰厚,管理人性化,晋升空间大","['1', '3']",2.0,"['7', '11']",8.0
深圳麦亚信科技资讯有限公司成都分公司,麦亚信,15-50人,C轮,武侯区,JAVA开发工程师,3-5年,不限,9k-14k,"福利健全,加班少,每年旅游,工作环境好","['3', '5']",4.0,"['9', '14']",10.25
新蛋科技（成都）有限公司,新蛋,500-2000人,不需要融资,高新区,Java开发工程师,1-3年,本科,8k-11k,赴美机会、技术氛围好、专业培训,"['1', '3']",2.0,"['8', '11']",8.75
客如云科技（北京）股份有限公司,客如云,500-2000人,C轮,高新区,JAVA工程师（activity）(J11237),3-5年,本科,15k-25k,"优秀团队,前景广阔,C轮融资","['3', '5']",4.0,"['15', '25']",17.5
中电科华云信息技术有限公司,电科华云,150-500人,A轮,高新区,高Java开发工程师,5-10年,本科,10k-15k,"大数据,架构设计,国企","['5', '10']",7.5,"['10', '15']",11.25
成都御顺投资有限公司,御顺投资,500-2000人,不需要融资,锦江区,java开发工程师,3-5年,大专,6k-10k,"公司项目,发展空间大,五险一金,团队规模","['3', '5']",4.0,"['6', '10']",7.0
成都掌控者网络科技有限公司,掌控者,50-150人,不需要融资,高新区,高级JAVA工程师,5-10年,本科,10k-17k,"五险一金,周末双休,创业团队,工作激情","['5', '10']",7.5,"['10', '17']",11.75
成都昕月互动科技有限公司,北美省钱快报,150-500人,不需要融资,高新区,高级Java开发工程师,3-5年,本科,15k-20k,"五险一金,弹性工作,轻松氛围","['3', '5']",4.0,"['15', '20']",16.25
网信集团有限公司,网信集团,2000人以上,不需要融资,高新区,Java工程师,3-5年,本科,15k-25k,"六险一金,项目奖金,年底双薪,下午茶","['3', '5']",4.0,"['15', '25']",17.5
北京江融信科技有限公司,江融信,150-500人,B轮,高新区,Java开发工程师,3-5年,本科,10k-20k,"五险一金,弹性上班,每年调薪","['3', '5']",4.0,"['10', '20']",12.5
成都长城开发科技有限公司,长城开发,500-2000人,不需要融资,郫县,java软件开发,1-3年,本科,6k-10k,"六险一金,带薪休假,奖金丰厚,平台广阔","['1', '3']",2.0,"['6', '10']",7.0
成都顶呱呱投资集团有限公司,顶呱呱,2000人以上,上市公司,武侯区,JAVA工程师,3-5年,大专,7k-14k,"项目奖金,带薪年假,晋升透明,周末双休","['3', '5']",4.0,"['7', '14']",8.75
活跃网络（成都）有限公司,活跃网络,500-2000人,上市公司,锦江区,Java开发工程师,5-10年,本科,10k-20k,"弹性时间,国际化团队,扁平化管理,福利好","['5', '10']",7.5,"['10', '20']",12.5
成都柠檬时光科技有限公司,柠檬科技,150-500人,天使轮,武侯区,Java开发工程师,3-5年,本科,8k-12k,高薪资、优越的地理位置及工作环境,"['3', '5']",4.0,"['8', '12']",9.0
成都市米彩科技有限公司,成都市米彩科技有限公司,150-500人,不需要融资,高新区,Java中级工程师,1-3年,本科,8k-12k,"五险一金,年度旅游,包三餐,节日福利","['1', '3']",2.0,"['8', '12']",9.0
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,锦江区,高级java开发,5-10年,大专,10k-20k,"五险一金,上市公司","['5', '10']",7.5,"['10', '20']",12.5
深圳市致远优学教育科技有限公司,优学天下,500-2000人,不需要融资,高新区,JAVA开发工程师,3-5年,本科,10k-18k,"六险一金,年终双薪,双休过节费","['3', '5']",4.0,"['10', '18']",12.0
成都艾美互娱科技有限公司,艾美互娱,50-150人,不需要融资,武侯区,Java工程师,5-10年,本科,14k-18k,五险一金，带薪年假，带薪病假,"['5', '10']",7.5,"['14', '18']",15.0
网信集团有限公司,网信集团,2000人以上,不需要融资,高新区,Java工程师（高级）,3-5年,本科,15k-25k,"六险一金,项目奖金,下午茶,年底多薪","['3', '5']",4.0,"['15', '25']",17.5
深圳市紫川软件有限公司,紫川软件,500-2000人,不需要融资,锦江区,JAVA中高级工程师,3-5年,大专,9k-15k,五险一金 员工旅游 周末双休 公司聚餐,"['3', '5']",4.0,"['9', '15']",10.5
丹露成都网络技术有限公司,丹露成都网络技术有限公司,150-500人,A轮,高新区,高级java开发工程师,5-10年,本科,15k-25k,"发展空间大,提升快,五险一金,下午茶","['5', '10']",7.5,"['15', '25']",17.5
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,锦江区,JAVA,1-3年,不限,10k-18k,"上市公司,五险一金,大型项目,年度体检","['1', '3']",2.0,"['10', '18']",12.0
北京慧友云商科技有限公司,慧友云商,50-150人,B轮,武侯区,JAVA开发工程师,3-5年,本科,9K-18K,"带薪年假,年底奖金,节日福利,五险一金","['3', '5']",4.0,"['9', '18']",11.25
成都杰迈科技有限责任公司,成都杰迈,15-50人,不需要融资,高新区,JAVA高级工程师,5-10年,大专,14k-18k,"五险一金,绩效奖金,项目奖,年终奖","['5', '10']",7.5,"['14', '18']",15.0
北京汇通天下物联科技有限公司,G7,500-2000人,C轮,高新区,Java开发工程师(J11673),3-5年,本科,15k-25k,"物联网,大数据,技术氛围浓","['3', '5']",4.0,"['15', '25']",17.5
四川倍施特科技股份有限公司,四川汽车票务网,50-150人,上市公司,高新区,JAVA软件工程师,3-5年,本科,8k-11k,"住房公积金,社会保险,年终奖,节日福利","['3', '5']",4.0,"['8', '11']",8.75
成都房联云码科技有限公司,房联,150-500人,未融资,高新区,Java,3-5年,本科,8k-16k,五险一金、双休、定期体检、带薪年假,"['3', '5']",4.0,"['8', '16']",10.0
中国电子进出口有限公司,中电进出口,500-2000人,不需要融资,高新区,高级java,5-10年,本科,15k-25k,"福利待遇,五险一金,办公环境好,领导赞","['5', '10']",7.5,"['15', '25']",17.5
四川超影科技有限公司,超影科技,50-150人,天使轮,高新区,Java开发工程师,1-3年,本科,8k-10k,"年终奖金,项目奖金,员工旅行,下午茶","['1', '3']",2.0,"['8', '10']",8.5
成都聚思力信息技术有限公司,成都聚思力信息技术有限公司,500-2000人,上市公司,高新区,JAVA高级开发工程师,3-5年,本科,9k-13k,"六险一金,交通补饭补,医旅游补,9天年假","['3', '5']",4.0,"['9', '13']",10.0
北京流金岁月文化传播股份有限公司成都分公司,北京流金岁月成都分公司,50-150人,上市公司,高新区,java高级开发工程师,5-10年,本科,10k-15k,"六险一金,技术氛围浓,团队忠诚高,上市公司","['5', '10']",7.5,"['10', '15']",11.25
新电信息科技（成都）有限公司,NCS,500-2000人,不需要融资,武侯区,Java,5-10年,本科,9k-16k,五险一金、年底双薪、带薪年假、节日福利等,"['5', '10']",7.5,"['9', '16']",10.75
四川长虹电器股份有限公司,四川长虹电器股份有限公司,2000人以上,上市公司,高新区,高级java工程师,3-5年,本科,8K-15K,五险一金,"['3', '5']",4.0,"['8', '15']",9.75
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,锦江区,java开发（远程）,3-5年,大专,10k-20k,"上市公司,周末双休,五险一金,意外保险","['3', '5']",4.0,"['10', '20']",12.5
成都路行通信息技术有限公司,路行通,500-2000人,不需要融资,高新区,中级java研发工程师,3-5年,本科,8k-12k,"温馨餐厅,人性管理,稳定平台,多维度发展","['3', '5']",4.0,"['8', '12']",9.0
成都博智维讯信息技术股份有限公司,博智维讯,150-500人,不需要融资,高新区,Java开发工程师,3-5年,大专,10K-18K,带薪年假/五险一金/双休/餐补/旅游,"['3', '5']",4.0,"['10', '18']",12.0
四川汉科计算机信息技术有限公司,四川汉科,150-500人,不需要融资,高新区,Java,3-5年,本科,8k-15k,五险一金 绩效奖金 年终奖金 专业培训,"['3', '5']",4.0,"['8', '15']",9.75
四川妥妥递科技有限公司,妥妥递,50-150人,A轮,锦江区,高级JAVA开发工程师,5-10年,大专,18k-25k,"豪华团队,金融科技,员工福利,后端开发","['5', '10']",7.5,"['18', '25']",19.75
北京江融信科技有限公司,江融信,150-500人,B轮,高新区,Java开发工程师,3-5年,本科,8k-15k,五险一金、每年调薪、年终奖金、各项福利,"['3', '5']",4.0,"['8', '15']",9.75
杭州顺网科技股份有限公司,顺网科技,500-2000人,上市公司,武侯区,Java资深开发工程师,10年以上,大专,15k-25k,"上市公司,大数据,福利健全,年终奖丰厚",['10'],10.0,"['15', '25']",17.5
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,郫县,Java工程师,3-5年,不限,8K-14K,入职缴纳六险一金，发展机会多，,"['3', '5']",4.0,"['8', '14']",9.5
北京开科唯识技术有限公司,开科唯识,500-2000人,未融资,武侯区,java软件工程师,1-3年,本科,5k-8k,"晋升空间大,学习得到多,团队和谐","['1', '3']",2.0,"['5', '8']",5.75
客如云科技（北京）股份有限公司,客如云,500-2000人,C轮,高新区,高级JAVA工程师J10771,5-10年,本科,15k-25k,薪酬竞争力 五险一金双休 技术氛围好,"['5', '10']",7.5,"['15', '25']",17.5
四川智行电子科技有限公司,智行科技,15-50人,不需要融资,高新区,Java开发工程师,3-5年,本科,10k-15k,五险一金、绩效奖、年假、年终业绩奖,"['3', '5']",4.0,"['10', '15']",11.25
成都青桔科技有限公司,货车兄弟,15-50人,A轮,新都区,Java开发工程师,3-5年,本科,10k-17k,"移动互联网,Java,架构","['3', '5']",4.0,"['10', '17']",11.75
新电信息科技（成都）有限公司,NCS,500-2000人,不需要融资,高新区,Java开发工程师,1-3年,本科,6k-8k,"五险一金,出国机会,外资,Java","['1', '3']",2.0,"['6', '8']",6.5
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,武侯区,Java 高级开发工程师,3-5年,本科,15k-30k,"AI领域,晋升空间大,股票期权","['3', '5']",4.0,"['15', '30']",18.75
成都快乐家网络技术有限公司,惠装网,150-500人,B轮,高新区,java工程师-中高级,3-5年,本科,10k-15k,"最多16薪,5险1金,带薪年假,周末双休","['3', '5']",4.0,"['10', '15']",11.25
北京开科唯识技术有限公司,开科唯识,500-2000人,未融资,武侯区,高级Java软件工程师,3-5年,本科,8k-16k,"团队氛围足,晋升空间大,团队技术强","['3', '5']",4.0,"['8', '16']",10.0
成都佳明航电科技有限公司,GARMIN佳明,2000人以上,上市公司,高新区,Java软件开发工程师,3-5年,本科,10k-15k,"外企研发,六险一金,周末双休,福利完善","['3', '5']",4.0,"['10', '15']",11.25
北京创锐文化传媒有限公司,聚美优品,2000人以上,上市公司,武侯区,JAVA工程师,3-5年,本科,10k-20k,"绩效奖金,五险一金,餐饮补贴","['3', '5']",4.0,"['10', '20']",12.5
京东金融,京东金融,2000人以上,上市公司,武侯区,Java开发工程师,3-5年,本科,15k-30k,"班车,餐补","['3', '5']",4.0,"['15', '30']",18.75
深圳市赢时胜信息技术股份有限公司,赢时胜软件,500-2000人,上市公司,高新区,研发部Java开发工程师,3-5年,本科,8k-15k,绩效奖金、专业金融培训,"['3', '5']",4.0,"['8', '15']",9.75
北京九州人国际旅行社有限公司成都分公司,iTrip,150-500人,B轮,武侯区,高级Java开发工程师,5-10年,本科,15k-20k,川妹子，境外旅游，发展空间，做最牛产品,"['5', '10']",7.5,"['15', '20']",16.25
北京世纪超星信息技术发展有限责任公司,世纪超星,2000人以上,不需要融资,武侯区,中高级Java研发工程师,3-5年,本科,8k-15k,"年终奖金,节日福利,带薪年假,周末双休","['3', '5']",4.0,"['8', '15']",9.75
成都旸谷信息技术有限公司,旸谷技术,15-50人,未融资,高新区,Java开发工程师（中级）,3-5年,本科,8k-12k,"领导好,行业前景好,收入高,福利好","['3', '5']",4.0,"['8', '12']",9.0
四川倍施特科技股份有限公司,四川汽车票务网,50-150人,上市公司,高新区,高级Java开发工程师,5-10年,本科,15k-20k,"六险一金，绩效奖，年终奖,团队经费","['5', '10']",7.5,"['15', '20']",16.25
北京趣拿软件科技有限公司,去哪儿网,2000人以上,不需要融资,高新区,JAVA开发工程师-专车事业部,3-5年,本科,20k-35k,"弹性工作,福利多多","['3', '5']",4.0,"['20', '35']",23.75
马上消费金融股份有限公司,马上金融,2000人以上,不需要融资,高新区,Java开发工程师,3-5年,不限,15k-30k,"五险一金,年底双薪","['3', '5']",4.0,"['15', '30']",18.75
成都顶呱呱投资集团有限公司,顶呱呱,2000人以上,上市公司,武侯区,中级JAVA工程师,3-5年,大专,7k-14k,"周末双休,专业培训,职位期权","['3', '5']",4.0,"['7', '14']",8.75
成都齐步走科技有限公司,齐步走科技,少于15人,未融资,高新区,JAVA中级开发工程师,1-3年,大专,5k-9k,"工作氛围好,创业团队,成长空间大,五险一金","['1', '3']",2.0,"['5', '9']",6.0
四川斐讯信息技术有限公司,斐讯技术,2000人以上,不需要融资,高新区,Java工程师,3-5年,本科,10k-20k,"五险一金,周末双休,午餐补贴,定期体检","['3', '5']",4.0,"['10', '20']",12.5
北京科电航宇空间技术有限公司,北京科电航宇空间技术有限公司,50-150人,不需要融资,青羊区,JAVA开发工程师,3-5年,本科,10k-18k,"创业公司,团队氛围好,行业前景优,个人待遇佳","['3', '5']",4.0,"['10', '18']",12.0
成都四象联创科技有限公司,四象联创,50-150人,未融资,郫县,Java开发,3-5年,本科,10k-20k,"周末双休,节假日福利,五险一金,员工旅游","['3', '5']",4.0,"['10', '20']",12.5
成都金铠甲科技有限公司,金铠甲科技,50-150人,不需要融资,高新区,JAVA开发经理,3-5年,大专,10k-16k,行业领先 平台好 福利好 领导好,"['3', '5']",4.0,"['10', '16']",11.5
成都网阔信息技术股份有限公司,成都网阔,150-500人,上市公司,武侯区,Java开发工程师,3-5年,大专,10k-15k,"平台稳定,福利多多,专业导师","['3', '5']",4.0,"['10', '15']",11.25
成都天府通金融服务股份有限公司,天府通,50-150人,不需要融资,高新区,Java开发工程师,3-5年,本科,9k-18k,"周末双休,带薪年假","['3', '5']",4.0,"['9', '18']",11.25
深圳市顶聚科技有限公司,顶聚科技,15-50人,未融资,武侯区,Java开发工程师,1-3年,本科,8k-12k,"五险一金,项目奖金,带薪年假,节日福利","['1', '3']",2.0,"['8', '12']",9.0
成都冰鉴信息科技有限公司,冰鉴科技,50-150人,B轮,郫县,高级Java开发工程师,5-10年,本科,15k-25k,"弹性工作,五险一金,年度旅游,工作氛围","['5', '10']",7.5,"['15', '25']",17.5
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,武侯区,JAVA开发工程师,1-3年,本科,8k-15k,"五险一金,带薪年假,定期体检,节日福利","['1', '3']",2.0,"['8', '15']",9.75
新电信息科技（成都）有限公司,NCS,500-2000人,不需要融资,高新区,Java,1-3年,本科,6k-8k,五险一金、绩效奖金、带薪年假、出国机会等,"['1', '3']",2.0,"['6', '8']",6.5
成都之维安科技股份有限公司,成都之维安科技股份有限公司,150-500人,上市公司,武侯区,高级JAVA工程师,5-10年,本科,10k-15k,"环保行业,氛围好,平台开放","['5', '10']",7.5,"['10', '15']",11.25
成都博为峰软件技术有限公司,成都博为峰,500-2000人,天使轮,锦江区,java程序开发/助理,应届毕业生,大专,3k-6k,"可实习,可培训,可转正",[],0.0,"['3', '6']",3.75
成都贵鑫堂网络科技有限公司,贵鑫堂,50-150人,未融资,金牛区,java高级开发工程师,3-5年,本科,10k-20k,"绩效奖金,带薪年假","['3', '5']",4.0,"['10', '20']",12.5
四川千行你我科技有限公司,千行集团,150-500人,D轮及以上,高新区,java,1-3年,本科,8k-12k,"期权,发展空间大,周末双休,五险一金","['1', '3']",2.0,"['8', '12']",9.0
四川万益能源科技有限公司,万益能源,50-150人,不需要融资,武侯区,Java开发工程师,1-3年,本科,8k-13k,"六险一金,餐补,员工旅游,年底双薪","['1', '3']",2.0,"['8', '13']",9.25
四川长虹电器股份有限公司,四川长虹电器股份有限公司,2000人以上,上市公司,高新区,Java中高级工程师,3-5年,本科,8K-15K,"五险一金,带薪年休假,发展空间,年终奖","['3', '5']",4.0,"['8', '15']",9.75
北京天广汇通科技有限公司,天广汇通,50-150人,不需要融资,高新区,java工程师（驻场）,1-3年,本科,10k-18k,"技术氛围好,领导好,餐补,六险一金","['1', '3']",2.0,"['10', '18']",12.0
成都金铠甲科技有限公司,金铠甲科技,50-150人,不需要融资,高新区,Java中级开发工程师,3-5年,本科,8k-15k,五险一金 餐补 带薪年假 定期体检 节日福利,"['3', '5']",4.0,"['8', '15']",9.75
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,锦江区,JAVA,1-3年,大专,4k-8k,"上市公司,年度体检,五险一金,大型项目","['1', '3']",2.0,"['4', '8']",5.0
北京天广汇通科技有限公司,天广汇通,50-150人,不需要融资,武侯区,JAVA高级开发工程师,3-5年,本科,10k-16k,"六险一金,体检,零食,领导好","['3', '5']",4.0,"['10', '16']",11.5
壹玖壹玖酒类平台科技股份有限公司,1919酒类直供,2000人以上,上市公司,武侯区,中高级JAVA开发工程师,3-5年,大专,10k-16k,"五险一金,弹性上班,节日福利,项目激励","['3', '5']",4.0,"['10', '16']",11.5
成都第六纪智能科技有限公司,第六纪,15-50人,未融资,高新区,Python(AI) 人工智能/Java开发工程师,5-10年,本科,17k-25k,工作氛围好,"['5', '10']",7.5,"['17', '25']",19.0
重庆盼达汽车租赁有限公司,盼达用车,500-2000人,未融资,锦江区,Java中级开发工程师,3-5年,本科,8k-14k,"弹性工作,五险一金,活泼扁平化,年终奖","['3', '5']",4.0,"['8', '14']",9.5
四川久远银海软件股份有限公司,久远银海,500-2000人,上市公司,锦江区,JAVA软件工程师,3-5年,本科,6k-12k,春节长假,"['3', '5']",4.0,"['6', '12']",7.5
成都旸谷信息技术有限公司,旸谷技术,15-50人,未融资,高新区,JAVA开发工程师（高级）,5-10年,本科,10k-20k,"领导好,行业前景好,收入高,福利好","['5', '10']",7.5,"['10', '20']",12.5
新希望六和股份有限公司,新希望六和,2000人以上,上市公司,锦江区,高级Java开发工程师,5-10年,大专,15k-25k,团队氛围好 专业性强 领导nice,"['5', '10']",7.5,"['15', '25']",17.5
四川妥妥递科技有限公司,妥妥递,50-150人,A轮,锦江区,中高级JAVA开发工程师,3-5年,大专,10k-20k,"豪华团队,金融科技,员工福利,后端开发","['3', '5']",4.0,"['10', '20']",12.5
南京君合创胜数据科技有限责任公司,君合创胜,500-2000人,不需要融资,青羊区,Java开发工程师（成都）,1-3年,本科,6k-12k,"五险一金,年度旅游,年度旅游,年终奖","['1', '3']",2.0,"['6', '12']",7.5
北京弘合柏基金融信息服务有限责任公司,有利网,500-2000人,A轮,武侯区,中级JAVA开发工程师,3-5年,本科,12k-18k,"六险一金,互联网金融,周末双休,大平台","['3', '5']",4.0,"['12', '18']",13.5
成都恒信博达科技有限公司,恒信博达,50-150人,不需要融资,高新区,高级JAVA研发工程师,5-10年,本科,15k-25k,"互联网金融,大数据,平台好,福利丰厚","['5', '10']",7.5,"['15', '25']",17.5
成都佳发安泰科技股份有限公司,成都佳发,150-500人,上市公司,武侯区,高级JAVA研发工程师,3-5年,本科,8k-12k,"周末双休,带薪年假,六险一金,节日福利","['3', '5']",4.0,"['8', '12']",9.0
北京慧友云商科技有限公司,慧友云商,50-150人,B轮,武侯区,java开发,1-3年,本科,8K-12K,"""""","['1', '3']",2.0,"['8', '12']",9.0
四川中清科华云联科技有限公司,中清云联,50-150人,不需要融资,高新区,java工程师,3-5年,本科,10k-15k,"扁平化,弹性工作,餐饮免费,提升空间大","['3', '5']",4.0,"['10', '15']",11.25
成都柠檬时光科技有限公司,柠檬科技,150-500人,天使轮,武侯区,高级JAVA开发工程师,3-5年,本科,15k-20k,"周末双休,发展空间大,福利待遇忧,员工餐","['3', '5']",4.0,"['15', '20']",16.25
中国电子进出口有限公司,中电进出口,500-2000人,不需要融资,高新区,Java开发–成都研发（初、中级）,3-5年,本科,10k-16k,项目奖,"['3', '5']",4.0,"['10', '16']",11.5
成都泰瑞亚科技有限公司,TYRIA,50-150人,天使轮,高新区,高级JAVA开发工程师,5-10年,本科,8k-16k,"福利完善,弹性工作,已融资,创业机会","['5', '10']",7.5,"['8', '16']",10.0
成都市米彩科技有限公司,成都市米彩科技有限公司,150-500人,不需要融资,高新区,Java高级工程师,3-5年,本科,10k-15k,"五险一金,年度旅游,包三餐,节日福利","['3', '5']",4.0,"['10', '15']",11.25
成都尼毕鲁科技股份有限公司,tap4fun,150-500人,不需要融资,高新区,JAVA工程师,1-3年,本科,8k-12k,"六险一金,发展空间大,薪资待遇优,团队氛围好","['1', '3']",2.0,"['8', '12']",9.0
